Most Informative Features
('vladimir', 'putin\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
('bill', 'o\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
('don\xe2', '\x80\x99', 'tell') = True           conser : libert =      6.4 : 1.0
     ('gowdy', 'r', 'c') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x94', 'well') = True           conser : libert =      6.4 : 1.0
('democratic', 'front', 'runner') = True           conser : libert =      6.4 : 1.0
('clinton\xe2', '\x80\x99', 'campaign') = True           conser : libert =      6.4 : 1.0
('family', '\xe2', '\x80\x9c') = True           conser : libert =      6.4 : 1.0
('state', 'department\xe2', '\x80\x99') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x94', 'south') = True           conser : libert =      6.4 : 1.0
('\xe2', '\x80\x94', 'andrew') = True           conser : libert =      6.4 : 1.0
      ('u', 'n', '\xe2') = True           conser : libert =      6.4 : 1.0
('fellow', 'hoover', 'institution') = True           conser : libert =      6.4 : 1.0
('declaring', '\xe2', '\x80\x9c') = True           conser : libert =      6.4 : 1.0
('atomic', 'energy', 'agency') = True           conser : libert =      6.4 : 1.0
('investigation', '\xe2', '\x80\x9d') = True           conser : libert =      6.4 : 1.0
('women', '\xe2', '\x80\x94') = True           conser : libert =      6.4 : 1.0
('presidential', 'front', 'runner') = True           conser : libert =      6.4 : 1.0
('writes', '\xe2', '\x80\x9c') = True           libera : libert =      6.4 : 1.0
('work', '\xe2', '\x80\x9d') = True           libera : libert =      6.2 : 1.0
('asked', '\xe2', '\x80\x9c') = True           libera : libert =      6.1 : 1.0
('don\xe2', '\x80\x99', 'find') = True           libera : libert =      6.1 : 1.0
('\xe2', '\x80\x9d', 'replied') = True           libera : libert =      6.1 : 1.0
('laudato', 'si\xe2', '\x80\x99') = True           libera : libert =      6.1 : 1.0
('\xe2', '\x80\x9d', 'told') = True           libera : libert =      6.1 : 1.0
('state', 'department', 'official') = True           conser : libera =      5.9 : 1.0
('\xe2', '\x80\x94', 'also') = True           conser : libera =      5.9 : 1.0
('secretary', 'state', 'john') = True           conser : libera =      5.9 : 1.0
('\x80\x99', 'nuclear', 'program') = True           conser : libera =      5.9 : 1.0
('state', 'john', 'kerry') = True           conser : libera =      5.9 : 1.0
('\x80\x94', '\xe2', '\x80\x94') = True           conser : libera =      5.9 : 1.0
('\xe2', '\x80\x94', 'including') = True           conser : libera =      5.9 : 1.0
('\x80\x9d', 'wrote', '\xe2') = True           libera : conser =      5.9 : 1.0
('going', 'broke', 'deficits') = True           libert : conser =      5.9 : 1.0
('broke', 'deficits', 'debt') = True           libert : conser =      5.9 : 1.0
